T,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%
1218,-3.5322,-3.09,-2.3204,4.2688,3.4088,2.7768,-3.6516,-3.076,-2.5611,4.0209,3.2538,2.5832,-3.9297,-2.7564,-2.1381,4.1752,2.8303,2.3033
1219,-4.4227,-3.5398,-2.9112,4.8919,4.2473,3.7444,-3.6136,-3.0537,-2.3917,4.4307,3.332,2.653,-3.7151,-3.0609,-2.4288,3.7117,2.8743,2.3648
1220,-4.8523,-4.0576,-3.2161,4.6892,4.1206,3.3248,-3.6249,-2.9439,-2.3153,4.1331,3.428,2.6899,-4.1164,-3.1461,-2.2545,4.2869,3.5808,2.787
1221,-4.5699,-3.6453,-2.991,4.4574,3.6232,2.9571,-4.2914,-3.3954,-2.5959,4.1272,3.0929,2.429,-3.7856,-2.8153,-2.2367,4.1145,3.2957,2.5611
1222,-3.9541,-3.0562,-2.5159,4.9199,3.7833,3.0336,-4.178,-3.0977,-2.3469,3.9709,3.1367,2.6748,-3.9025,-3.3219,-2.6052,3.786,3.098,2.3564
1223,-4.219,-3.0765,-2.6227,4.5133,3.623,2.9886,-4.332,-4.0129,-3.1821,5.6734,4.9424,3.8377,-4.085,-3.1058,-2.4485,4.571,3.3074,2.6264
1224,-3.7308,-3.2807,-2.5639,5.0231,3.8827,3.0062,-4.8114,-3.6817,-2.8055,4.9874,3.8785,3.1683,-4.1274,-3.2163,-2.4838,4.29,3.0702,2.4025
1225,-4.0936,-3.4373,-2.8616,4.874,3.6279,3.1344,-3.8603,-3.0946,-2.5362,4.8022,3.4776,3.0326,-4.8796,-3.7044,-2.7489,4.8093,3.7178,2.8393
1226,-4.634,-3.0076,-2.438,4.3897,3.4032,2.9804,-3.913,-3.2744,-2.6432,4.5147,3.4473,2.8464,-4.1895,-2.9313,-2.4352,3.7507,3.0357,2.333
1227,-3.7273,-2.9992,-2.4333,4.8863,3.5713,2.7662,-4.7408,-3.5671,-2.7841,4.6314,3.3706,2.8437,-4.0666,-2.8461,-2.221,4.6407,3.3609,2.4567
1228,-3.2896,-2.6274,-2.2372,3.831,3.14,2.4369,-4.7396,-3.4328,-2.8356,4.5243,3.6458,2.8808,-3.7717,-2.5233,-1.971,4.0956,2.8486,2.3239
1229,-3.4832,-2.7799,-2.1835,3.5827,2.9579,2.4117,-4.3791,-3.7636,-2.9727,4.4637,3.44,2.7628,-4.361,-2.7981,-2.2852,4.3261,3.0754,2.5195
