T,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%,1.00%,2.50%,5.00%,99.00%,97.50%,95.00%
1218,-3.0358,-2.5157,-2.0759,3.879,3.1218,2.5405,-3.2006,-2.3866,-1.9341,3.8098,2.9257,2.4358,-3.3483,-2.555,-2.1477,3.5666,2.8159,2.3172
1219,-5.5416,-4.2069,-3.4967,5.5359,4.6273,3.8514,-3.6373,-2.9727,-2.3405,3.8012,3.1913,2.5296,-3.8352,-3.0497,-2.1612,3.9821,3.0567,2.3128
1220,-5.0538,-3.8052,-3.18,4.9943,3.8878,3.3643,-3.1564,-2.4909,-2.1539,3.8897,3.0724,2.5682,-3.4924,-2.748,-2.1404,3.9995,2.8616,2.4693
1221,-4.9196,-3.933,-3.1355,5.2747,3.9322,3.1722,-4.1059,-3.0409,-2.361,4.2187,3.4477,2.7167,-4.9222,-3.6003,-2.5861,4.3945,3.3004,2.6691
1222,-4.8375,-4.0868,-3.2535,5.0107,4.1461,3.4203,-3.9239,-2.9444,-2.2483,4.6362,3.4812,2.8728,-4.5562,-3.0893,-2.4056,4.8734,3.1976,2.529
1223,-3.8122,-3.1627,-2.4642,4.7258,3.5582,2.9835,-5.1991,-4.2961,-3.6963,5.6308,4.8369,3.8534,-3.4474,-2.703,-2.0809,3.5201,2.75,2.297
1224,-4.9964,-3.7921,-2.7044,4.5434,3.9963,2.9215,-5.4842,-4.1509,-3.1921,5.792,4.3757,3.4151,-4.271,-3.091,-2.1797,3.8835,2.9487,2.3467
1225,-4.4373,-3.5441,-2.6448,4.551,3.7314,2.9785,-4.8567,-3.9013,-3.1892,6.115,4.5205,3.547,-3.5168,-2.6129,-2.2189,4.4551,3.1927,2.3804
1226,-4.3598,-3.443,-2.8501,5.3017,4.2105,3.0644,-4.2785,-3.5781,-2.8874,4.9952,3.85,3.1487,-3.7893,-2.897,-2.2006,4.4368,3.4575,2.7027
1227,-3.9017,-3.2699,-2.5803,4.1575,3.5586,2.8587,-4.8291,-3.4511,-2.6228,5.0521,4.025,3.2161,-4.0692,-2.8942,-2.2961,4.5593,3.4073,2.7044
